frequency,character,canto,definition,radical,stroke_count,pinyin
1,的,dik1,"possessive, adjectival suffix",白,8,de
2,一,jat1,"one; a, an; alone",一,1,yī
3,是,si6,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,9,shì
4,不,bat1,"no, not; un-; negative prefix",一,4,bù
5,了,liu5,to finish; particle of completed action,亅,2,le
6,在,zoi6,"be at, in, on; consist in, rest",土,6,zài
7,人,Jan4,man; people; mankind; someone else,人,2,rén
8,有,jau5,"have, own, possess; exist",月,6,yǒu
9,我,ngo5,"our, us, i, me, my, we",戈,7,wǒ
10,他,taa1,"other, another; he, she, it",人,5,tā
11,这,ze5,"this, the, here",辵,7,zhè
12,个,go3,"numerary adjunct, piece; single",丨,3,gè
13,们,mun4,adjunct pronoun indicate plural,人,5,men
14,中,zung1,"central; center, middle; in the midst of; hit (target); attain",丨,4,zhōng
15,来,loi4,"come, coming; return, returning",木,7,lái
16,上,soeng5,"top; superior, highest; go up, send up",一,3,shàng
17,大,daai6,"big, great, vast, large, high",大,3,dà
18,为,wai4,"do, handle, govern, act; be",丶,4,wèi
19,和,wo4,"harmony, peace; peaceful, calm",口,8,hé
20,国,gwok3,"nation, country, nation-state",囗,8,guó
21,地,dei6,"earth; soil, ground; region",土,6,de
22,到,dou3,"go to, arrive, been to",刀,8,dào
23,以,ji5,"by means of; thereby, therefore; consider as; in order to",人,4,yǐ
24,说,syut3,"speak, say, talk; scold, upbraid",言,9,shuō
25,时,si4,"time, season; era, age, period",日,7,shí
26,要,jiu3,"necessary, essential; necessity",襾,9,yào
27,就,zau6,"just, simply; to come, go to; to approach, near",尢,12,jiù
28,出,ceot1,"go out, send out; stand; produce",凵,5,chū
29,会,wui2 wui2,"assemble, meet together; meeting",人,6,huì
30,可,ho2,"may, can, -able; possibly",口,5,kě
31,也,jaa5,also; classical final particle of strong affirmation or identity,乙,3,yě
32,你,nei5,"you, second person pronoun",人,7,nǐ
33,对,deoi3,"correct, right; facing, opposed",寸,5,duì
34,生,saang1,"life, living, lifetime; birth",生,5,shēng
35,能,nang4,"to be able; can, permitted to; ability",肉,10,néng
36,而,ji4,and; and then; and yet; but,而,6,ér
37,子,zi2,"offspring, child; fruit, seed of; 1st terrestrial branch",子,3,zi
38,那,naa5,"that, that one, those",邑,6,nà
39,得,dak1,"obtain, get, gain, acquire",彳,11,dé
40,于,jyu1,"in, on, at; go to; surname",二,3,yú
41,着,zyu3,"make move, take action",目,11,zhe
42,下,haa6,"under, underneath, below; down; inferior; bring down",一,3,xià
43,自,zi6,"self, private, personal; from",自,6,zì
44,之,zi1,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,3,zhī
45,年,nin4,,干,6,nián
46,过,gwo3,"pass, pass through, go across",辵,6,guò
47,发,faat3,"issue, dispatch, send out; hair",又,5,fā
48,后,hau6 hau6,"queen, empress, sovereign; (simp. for",口,6,hòu
49,作,zok3,"make; work; compose, write; act, perform",人,7,zuò
50,里,leoi5,unit of distance; village; lane,里,7,lǐ
51,用,jung6,"use, employ, apply, operate; use",用,5,yòng
52,道,dou6,"path, road, street; method, way",辵,12,dào
53,行,hang4,"go; walk; move, travel; circulate",行,6,xíng
54,所,so2,"place, location; numerary adjunct",戶,8,suǒ
55,然,jin4,"yes, certainly; pledge, promise",火,12,rán
56,家,gaa1,"house, home, residence; family",宀,10,jiā
57,种,zung2,"seed; race, breed; to plant",禾,9,zhǒng
58,事,si6,"affair, matter, business; to serve; accident, incident",亅,8,shì
59,成,sing4,"completed, finished, fixed",戈,6,chéng
60,方,fong1,"a square, rectangle; a region; local",方,4,fāng
61,多,do1,"much, many; more than, over",夕,6,duō
62,经,ging1,classic works; pass through,糸,8,jīng
63,么,mo1 mo1,interrogative particle; repetition of a tune small; tender,丿,3,me
64,去,heoi3,"go away, leave, depart",厶,5,qù
65,法,faat3,"law, rule, regulation, statute; France, French",水,8,fǎ
66,学,hok6 hok6,"learning, knowledge; school",子,8,xué
67,如,jyu4,"if, supposing; as if; like, as",女,6,rú
68,都,dou1,"metropolis, capital; all, the whole; elegant, refined",邑,10,dōu
69,同,tung4,"same, similar; together with",口,6,tóng
70,现,jin6,"appear, manifest, become visible",玉,8,xiàn
71,当,dong1,"bear, accept, undertake; just",小,6,dāng
72,没,mut6,"not, have not, none; drown, sink",水,7,méi
73,动,dung6 dung6,"move, happen; movement, action",力,6,dòng
74,面,min6,"face; surface; plane; side, dimension",面,9,miàn
75,起,hei2,"rise, stand up; go up; begin",走,10,qǐ
76,看,hon3,"look, see; examine, scrutinize",目,9,kàn
77,定,ding6,"decide, settle, fix",宀,8,dìng
78,天,tin1,"sky, heaven; god, celestial",大,4,tiān
79,分,fan1,divide; small unit of time etc.,刀,4,fēn
80,还,waan4,"still, yet, also, besides",辵,7,hái
81,进,zeon3,"advance, make progress, enter",辵,7,jìn
82,好,hou2,"good, excellent, fine; well",女,6,hǎo
83,小,siu2,"small, tiny, insignificant",小,3,xiǎo
84,部,bou6,"part, division, section",邑,10,bù
85,其,kei4,"his, her, its, their; that",八,8,qí
86,些,se1,"little, few; rather, somewhat",二,8,xiē
87,主,zyu2,"master, chief owner; host; lord",丶,5,zhǔ
88,样,joeng6,"shape, form, pattern, style",木,10,yàng
89,理,lei5,"reason, logic; manage",玉,11,lǐ
90,心,sam1,"heart; mind, intelligence; soul",心,4,xīn
91,她,taa1,"she, her",女,6,tā
92,本,bun.2,"root, origin, source; basis",木,5,běn
93,前,cin4,"in front, forward; preceding",刀,9,qián
94,开,1,"open; initiate, begin, start",廾,4,kāi
95,但,daan6,"only; but, however, yet, still",人,7,dàn
96,因,Jan1,"cause, reason; by; because (of)",囗,6,yīn
97,只,zi2,"only, just, simply",口,5,zhǐ
98,从,cung4,"from, by, since, whence, through",人,4,cóng
99,想,soeng2,"think, speculate, plan, consider",心,13,xiǎng
100,实,sat6,"real, true; honest, sincere",宀,8,shí
101,日,jat6,sun; day; daytime,日,4,rì
102,军,gwan1,"army, military; soldiers, troops",車,6,jūn
103,者,ze2,that which; he who; those who,老,8,zhě
104,意,ji3,"thought, idea, opinion; think",心,13,yì
105,无,mou4,"negative, no, not; KangXi radical 71",无,4,wú
106,力,lik6,"power, capability, influence",力,2,lì
107,它,taa1,it; other,宀,5,tā
108,与,jyu5,"and; with; to; for; give, grant",一,3,yǔ
109,长,coeng4,long; length; excel in; leader,長,4,zhǎng
110,把,baa.2,"hold, take; guard; regard as",手,7,bǎ
111,机,1,desk; machine; moment,木,6,jī
112,十,sap6,"ten, tenth; complete; perfect",十,2,shí
113,民,man4,"people, subjects, citizens",氏,5,mín
114,第,dai6,"sequence, number; grade, degree",竹,11,dì
115,公,gung1,"fair, equitable; public; duke",八,4,gōng
116,此,ci2,"this, these; in this case, then",止,6,cǐ
117,已,ji5,already; finished; stop,己,3,yǐ
118,工,gung1,"labor, work; worker, laborer",工,3,gōng
119,使,sai2,"cause, send on a mission, order; envoy, messenger, ambassador",人,8,shǐ
120,情,cing4,"feeling, sentiment, emotion",心,11,qíng
121,明,ming4,"bright, light, brilliant; clear",日,8,míng
122,性,sing3,"nature, character, sex",心,8,xìng
123,知,zi1,"know, perceive, comprehend",矢,8,zhī
124,全,cyun4,"maintain, keep whole or intact",入,6,quán
125,三,saam1,three,一,3,sān
126,又,jau6,"and, also, again, in addition",又,2,yòu
127,关,gwaan1 gwaan1,frontier pass; close; relation,八,6,guān
128,点,dim2 dim2,"dot, speck, spot; point, degree",火,9,diǎn
129,正,zing3,"right, proper, correct",止,5,zhèng
130,业,jip6 jip6,"profession, business; GB radical 111",一,5,yè
131,外,ngoi6,"out, outside, external; foreign",夕,5,wài
132,将,zoeng3,"will, going to, future; general",爿,9,jiāng
133,两,loeng5,"two, both, pair, couple; ounce",一,7,liǎng
134,高,gou1,"high, tall; lofty, elevated",高,10,gāo
135,间,gaan1 gaan1,"midpoint, space; place, locality",門,7,jiān
136,由,jau4,"cause, reason; from",田,5,yóu
137,问,man6,"ask about, inquire after",門,6,wèn
138,很,han2,"very, quite, much",彳,9,hěn
139,最,zeoi3,"most, extremely, exceedingly",曰,12,zuì
140,重,cung4,"heavy, weighty; double",里,9,zhòng
141,并,1,,干,6,bìng
142,物,mat6,"thing, substance, creature",牛,8,wù
143,手,sau2,hand,手,4,shǒu
144,应,jing3 jing3,"should, ought to, must",广,7,yīng
145,战,zin3 zin3,"war, fighting, battle",戈,9,zhàn
146,向,hoeng3,"toward, direction, trend",口,6,xiàng
147,头,tau4,"head; top; chief, first; boss",大,5,tóu
148,文,man4,"literature, culture, writing",文,4,wén
149,体,tai2 tai2,"body; group, class, body, unit; inferior",人,7,tǐ
150,政,zing3,"government, political affairs",攴,9,zhèng
151,美,mei5,"beautiful, pretty; pleasing",羊,9,měi
152,相,soeng1,"mutual, reciprocal, each other",目,9,xiāng
153,见,gin3,"see, observe, behold; perceive",見,4,jiàn
154,被,bei.6,,衣,10,bèi
155,利,lei6,"gains, advantage, profit, merit",刀,7,lì
156,什,sam6,"file of ten soldiers; mixed, miscellaneous",人,4,shén
157,二,ji6,two; twice,二,2,èr
158,等,dang2,,竹,12,děng
159,产,caan2,"give birth, bring forth, produce",立,6,chǎn
160,或,waak6,"or, either, else; perhaps, maybe",戈,8,huò
161,新,san1,"new, recent, fresh, modern",斤,13,xīn
162,己,gei2,"self, oneself; personal, private; 6th heavenly stem",己,3,jǐ
163,制,zai3,system; establish; overpower,刀,8,zhì
164,身,san1,"body; trunk, hull; rad. no. 158",身,7,shēn
165,果,gwo2,fruit; result,木,8,guǒ
166,加,gaa1,"add to, increase, augment",力,5,jiā
167,西,sai1,"west(ern); westward, occident",襾,6,xī
168,斯,si1,"this, thus, such; to lop off; emphatic particle",斤,12,sī
169,月,jyut6,moon; month; KangXi radical 74,月,4,yuè
170,话,waa6,"speech, talk, language; dialect",言,8,huà
171,合,hap6,"combine, unite, join; gather",口,6,hé
172,回,wui4,"return, turn around; a time",囗,6,huí
173,特,dak6,"special, unique, distinguished",牛,10,tè
174,代,doi6,"replace, replacement (of person or generation); era, generation",人,5,dài
175,内,noi6,inside,入,4,nèi
176,信,seon3,"trust, believe; letter",人,9,xìn
177,表,biu.2,"show, express, manifest, display",衣,8,biǎo
178,化,faa3,"change, convert, reform; -ize",匕,4,huà
179,老,lou5,"old, aged; experienced",老,6,lǎo
180,给,kap1,"give; by, for",糸,9,gěi
181,世,sai3,generation; world; era,一,5,shì
182,位,wai2,"throne; position, post; rank, status; seat",人,7,wèi
183,次,ci3,"order, sequence; next",欠,6,cì
184,度,dou6,"degree, system; manner; to consider",广,9,dù
185,门,mun4,"gate, door, entrance, opening",門,3,mén
186,任,jam6,"trust to, rely on, appoint; to bear, duty, office; allow",人,6,rèn
187,常,soeng4,"common, normal, frequent, regular",巾,11,cháng
188,先,sin1,"first, former, previous",儿,6,xiān
189,海,hoi2,"sea, ocean; maritime",水,10,hǎi
190,通,tung1,"pass through, common, communicate",辵,10,tōng
191,教,gaau3,"teach, class",攴,11,jiào
192,儿,ji4,"son, child; KangXi radical 10",儿,2,ér
193,原,jyun4,"source, origin, beginning",厂,10,yuán
194,东,dung1,"east, eastern, eastward",一,5,dōng
195,声,seng1 seng1,"sound, voice, noise; tone; music",士,7,shēng
196,提,tai4,hold in hand; lift in hand,手,12,tí
197,立,lap6,"stand; let stand; establish, set",立,5,lì
198,及,kap6,extend; reach; come up to; and,又,3,jí
199,比,bei.2,"to compare, liken; comparison; than",比,4,bǐ
200,员,jyun4,"member; personnel, staff member",口,7,yuán
201,解,gaai2,"loosen, unfasten, untie; explain",角,13,jiě
202,水,seoi2,"water, liquid, lotion, juice",水,4,shuǐ
203,名,ming4,"name, rank, title, position",口,6,míng
204,真,zan1,"real, actual, true, genuine",目,10,zhēn
205,论,leon6 leon6,debate; discuss; discourse,言,6,lùn
206,处,cyu3 cyu3,"place, locale; department",夂,5,chù
207,走,zau2,"walk, go on foot; run; leave",走,7,zǒu
208,义,ji6,"right conduct, righteousness",丿,3,yì
209,各,gok3,"each, individually, every, all",口,6,gè
210,入,jap6,"enter, come in(to), join",入,2,rù
211,几,gei2 gei2,small table,几,2,jǐ
212,口,hau2,"mouth; open end; entrance, gate",口,3,kǒu
213,认,jing6 jing6,"recognize, know, understand",言,4,rèn
214,条,tiu4 tiu4,"clause, condition; string, stripe",木,7,tiáo
215,平,ping4,"flat, level, even; peaceful",干,5,píng
216,系,hai6 hai6,"system; line, link, connection",糸,7,xì
217,气,hei3,"steam, vapor; KangXi radical 84",气,4,qì
218,题,tai4,"forehead; title, headline; theme",頁,15,tí
219,活,wut6,"live, exist, survive; lively",水,9,huó
220,尔,ji5 ji5,"you; that, those; final particle",小,5,ěr
221,更,gang3,"more, still further, much more",曰,7,gèng
222,别,bit.6,"separate, other; do not",刀,7,bié
223,打,daa2,"strike, hit, beat; fight; attack",手,5,dǎ
224,女,neoi5,"woman, girl; feminine; rad. 38",女,3,nǚ
225,变,bin.3,"change, transform, alter; rebel",又,8,biàn
226,四,sei3,four,囗,5,sì
227,神,san4,"spirit, god, supernatural being",示,9,shén
228,总,zung2 zung2,"collect; overall, altogether",八,9,zǒng
229,何,ho4,"what, why, where, which, how",人,7,hé
230,电,din6,electricity; electric; lightning,曰,5,diàn
231,数,sou3 sou3,"number; several, count; fate",攴,13,shù
232,安,on.1,"peaceful, tranquil, quiet",宀,6,ān
233,少,siu2,"few, less, inadequate",小,4,shǎo
234,报,bou.3,"report, tell, announce",手,7,bào
235,才,coi4,"talent, ability; just, only",手,3,cái
236,结,git3,"knot, tie; join, connect",糸,9,jié
237,反,faan2,"reverse, opposite, contrary, anti",又,4,fǎn
238,受,sau6,"receive, accept, get; bear, stand",又,8,shòu
239,目,muk6,"eye; look, see; division, topic",目,5,mù
240,太,taai3,"very, too, much; big; extreme",大,4,tài
241,量,loeng6,"measure, quantity, capacity",里,12,liàng
242,再,zoi3,"again, twice, re-",冂,6,zài
243,感,gam2,"feel, perceive, emotion",心,13,gǎn
244,建,gin3,"build, establish, erect, found",廴,8,jiàn
245,务,mou6 mou6,"affairs, business; must, should",夂,5,wù
246,做,zou6,"work, make; act",人,11,zuò
247,接,zip3,receive; continue; catch; connect,手,11,jiē
248,必,bit.1,"surely, most certainly; must",心,5,bì
249,场,coeng4 coeng4,"open space, field, market",土,6,chǎng
250,件,gin6,numerary adjunct for article; matter,人,6,jiàn
251,计,gai3,"plan, plot; strategem; scheme",言,4,jì
252,管,gun2,"pipe, tube, duct; woodwind music",竹,14,guǎn
253,期,kei4,period of time; date; time limit,月,12,qī
254,市,si5,"market, fair; city, town; trade",巾,5,shì
255,直,zik6,"straight, erect, vertical",目,8,zhí
256,德,dak1,"ethics, morality, virtue",彳,15,dé
257,资,zi1 zi1,property; wealth; capital,貝,10,zī
258,命,ming6,"life; destiny, fate, luck; an order, instruction",口,8,mìng
259,山,saan1,"mountain, hill, peak",山,3,shān
260,金,gam1,gold; metals in general; money,金,8,jīn
261,指,zi2,"finger, toe; point, indicate",手,9,zhǐ
262,克,hak1,gram; overcome; transliteration,儿,7,kè
263,许,heoi2,"allow, permit; promise; betroth",言,6,xǔ
264,统,tung2,"govern, command, control; unite",糸,9,tǒng
265,区,keoi1,"area, district, region, ward",匸,4,qū
266,保,bou.2,"protect, safeguard, defend, care",人,9,bǎo
267,至,zi3,"reach, arrive; extremely, very",至,6,zhì
268,队,deoi6,"team, group; army unit",阜,4,duì
269,形,jing4,"form, shape, appearance",彡,7,xíng
270,社,se5,"god of the soil and altars to him; group of families; company, society",示,7,shè
271,便,bin.6,"convenience, ease; expedient",人,9,biàn
272,空,hung1,"empty, hollow, bare, deserted",穴,8,kōng
273,决,kyut3,"decide, determine, judge",冫,6,jué
274,治,zi6,"govern, regulate, administer",水,8,zhì
275,展,zin2,"open, unfold; stretch, extend",尸,10,zhǎn
276,马,maa5,horse; surname; KangXi radical 187,馬,3,mǎ
277,科,fo1,"section, department, science",禾,9,kē
278,司,si1,"take charge of, control, manage; officer",口,5,sī
279,五,ng5,five; surname,二,4,wǔ
280,基,gei1,"foundation, base",土,11,jī
281,眼,ngaan5,"eye; eyelet, hole, opening",目,11,yǎn
282,书,syu1 syu1,"book, letter, document; writings",丨,4,shū
283,非,fei1,"not, negative, non-; oppose",非,8,fēi
284,则,zak1 zak1,"rule, law, regulation; grades",刀,6,zé
285,听,ting3 ting3,"hear; understand; obey, comply",口,7,tīng
286,白,baak.6,"white; pure, unblemished; bright",白,5,bái
287,却,koek3,"still, but; decline; retreat",卩,7,què
288,界,gaai3,"boundary, limit; domain; society; the world",田,9,jiè
289,达,daat6,"arrive at, reach; intelligent; smooth, slippery",辵,6,dá
290,光,gwong1,"light, brilliant, shine; only",儿,6,guāng
291,放,fong3,"put, release, free, liberate",攴,8,fàng
292,强,koeng4,"strong, powerful, energetic",弓,12,qiáng
293,即,zik1,"promptly, quickly, immediately",卩,7,jí
294,像,zoeng6,"a picture, image, figure; to resemble",人,13,xiàng
295,难,naan4,"difficult, arduous, hard; unable",又,10,nán
296,且,ce2,"moreover, also (post-subject); about to, will soon (pre-verb)",一,5,qiě
297,权,kyun4,"power, right, authority",木,6,quán
298,思,si1,"think, consider, ponder; final particle",心,9,sī
299,王,wong4,"king, ruler; royal; surname",玉,4,wáng
300,象,zoeng6,"elephant; ivory; figure, image",豕,11,xiàng
